school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
18,18021,靜宜大學,英國語文學系,靜宜英國語文,6,2,藝術及人文,656,-0.872569,596,333.6516411
17,17082,中國文化大學,英國語文學系,文化英國語文,6,2,藝術及人文,786,-1.792272,660,308.4035417
11,11092,國立清華大學,英語教學系,清大英語教學,1,1,教育,72,1.030199,99,466.7350623
35,35092,臺北市立大學,英語教學系,北市大英語教學,3,1,教育,254,0.050369,221,429.6439929
2,2122,國立臺灣師範大學,英語學系,臺師英語,2,2,藝術及人文,31,1.510607,80,473.3572523
23,23092,國立彰化師範大學,英語學系,彰師英語,3,2,藝術及人文,127,0.549068,188,440.6057334
22,22152,國立高雄師範大學,英語學系,高師英語,3,2,藝術及人文,143,0.462592,219,429.8213672
47,47232,世新大學,英語學系,世新英語,5,2,藝術及人文,612,-0.767419,574,338.9658244
36,36072,國立屏東大學,英語學系,屏東英語,3,2,藝術及人文,632,-0.8128,311,404.2442781
31,31072,國立臺中教育大學,英語學系,中教英語,3,2,藝術及人文,742,-1.21792,225,428.533751
42,42262,大葉大學,英語學系,大葉英語,6,2,藝術及人文,777,-1.64472,774,260.0540936
46,46361,銘傳大學,風險管理與保險系保險行銷組,銘傳風管保險行銷,5,4,商業、管理及法律,542,-0.608111,433,375.4205978
46,46361,銘傳大學,風險管理與保險系風險管理組,銘傳風管保險風管,5,4,商業、管理及法律,747,-1.23477,302,407.3893669
6,6242,國立政治大學,風險管理與保險學系,政大風險管理保險,1,4,商業、管理及法律,45,1.354827,27,490.6423373
14,14182,淡江大學,風險管理與保險學系,淡江風險管理保險,4,4,商業、管理及法律,382,-0.28717,420,378.101509
15,15352,逢甲大學,風險管理與保險學系,逢甲風險管理保險,4,4,商業、管理及法律,491,-0.514234,496,359.6373834
50,50152,實踐大學,風險管理與保險學系(臺北),,5,4,商業、管理及法律,622,-0.792006,482,362.7657521
134,134032,亞洲大學,食品營養保健系(保健化妝組),,5,5,自然科學、數學及統計,556,-0.643182,520,354.1085936
1,1042,國立臺灣大學,哲學系,臺大哲學,1,2,藝術及人文,17,2.113417,29,489.0897356
6,6032,國立政治大學,哲學系,政大哲學,1,2,藝術及人文,50,1.255091,73,475.4282299
